op,device,dtype,n,iters,best_ms,avg_ms,best_bandwidth_GBs
asum,AMD Instinct MI300A,float32,1024,100,0.01139,0.01697549,0.3596137
asum,AMD Instinct MI300A,float32,16384,100,0.031751,0.03479299,2.064061
asum,AMD Instinct MI300A,float32,262144,100,2.435128,2.4656937,0.43060407
asum,AMD Instinct MI300A,float32,4194304,100,139.12782,150.46025,0.120588504
asum,AMD Instinct MI300A,float32,67108864,100,1085.7806,1164.3192,0.24722809
axpy,AMD Instinct MI300A,float32,1024,100,0.01039,0.01651929,1.1826756
axpy,AMD Instinct MI300A,float32,16384,100,0.01258,0.01351286,15.628617
axpy,AMD Instinct MI300A,float32,262144,100,0.013,0.01400566,241.97908
axpy,AMD Instinct MI300A,float32,4194304,100,0.027091,0.02988424,1857.8734
axpy,AMD Instinct MI300A,float32,67108864,100,0.257723,0.27972254,3124.6973
copy,AMD Instinct MI300A,float32,1024,100,0.01575,0.0165244,0.520127
copy,AMD Instinct MI300A,float32,16384,100,0.01233,0.01371486,10.630333
copy,AMD Instinct MI300A,float32,262144,100,0.01293,0.014443469,162.19273
copy,AMD Instinct MI300A,float32,4194304,100,0.01952,0.02291657,1718.977
copy,AMD Instinct MI300A,float32,67108864,100,0.226423,0.2405132,2371.0972
dot,AMD Instinct MI300A,float32,1024,100,0.01804,0.01905112,0.454102
dot,AMD Instinct MI300A,float32,16384,100,0.01856,0.01973603,7.062069
dot,AMD Instinct MI300A,float32,262144,100,0.01919,0.01988593,109.283585
dot,AMD Instinct MI300A,float32,4194304,100,0.022701,0.02792602,1478.1036
dot,AMD Instinct MI300A,float32,67108864,100,0.167332,0.17948069,3208.4175
dotc,AMD Instinct MI300A,float32,1024,100,0.01744,0.01847302,0.93944955
dotc,AMD Instinct MI300A,float32,16384,100,0.03451,0.03706312,7.596175
dotc,AMD Instinct MI300A,float32,262144,100,2.59213,2.6314232,1.6180917
dotc,AMD Instinct MI300A,float32,4194304,100,66.77853,73.467285,1.0049468
dotc,AMD Instinct MI300A,float32,67108864,100,655.7544,693.82404,1.6374147
dotu,AMD Instinct MI300A,float32,1024,100,0.01383,0.01925242,1.184671
dotu,AMD Instinct MI300A,float32,16384,100,0.03496,0.03720363,7.4983983
dotu,AMD Instinct MI300A,float32,262144,100,2.5863,2.631097,1.6217391
dotu,AMD Instinct MI300A,float32,4194304,100,68.01401,73.6069,0.9866918
dotu,AMD Instinct MI300A,float32,67108864,100,655.0764,714.5443,1.6391093
iamax,AMD Instinct MI300A,float32,1024,100,0.0143099995,0.01663189,0.2862334
iamax,AMD Instinct MI300A,float32,16384,100,0.01481,0.01682269,4.425118
iamax,AMD Instinct MI300A,float32,262144,100,0.01551,0.01810401,67.606445
iamax,AMD Instinct MI300A,float32,4194304,100,0.01786,0.02077934,939.3738
iamax,AMD Instinct MI300A,float32,67108864,100,0.126972,0.13472085,2114.131
nrm2,AMD Instinct MI300A,float32,1024,100,0.013861,0.01591878,0.29550537
nrm2,AMD Instinct MI300A,float32,16384,100,0.01423,0.01585008,4.605481
nrm2,AMD Instinct MI300A,float32,262144,100,0.01418,0.016568089,73.94753
nrm2,AMD Instinct MI300A,float32,4194304,100,0.01648,0.01946982,1018.035
nrm2,AMD Instinct MI300A,float32,67108864,100,0.107541,0.112989895,2496.122
rot,AMD Instinct MI300A,float32,1024,100,0.0158,0.016672801,0.518481
rot,AMD Instinct MI300A,float32,16384,100,0.010461,0.01392106,12.529586
rot,AMD Instinct MI300A,float32,262144,100,0.01374,0.01524117,152.63115
rot,AMD Instinct MI300A,float32,4194304,100,0.037961,0.0432424,883.9185
rot,AMD Instinct MI300A,float32,67108864,100,0.395785,0.42933998,1356.4711
rotg,cpu,float32,0,100,2e-05,2.77e-05,0.0
rotm,AMD Instinct MI300A,float32,1024,100,0.01521,0.01657779,0.53859305
rotm,AMD Instinct MI300A,float32,16384,100,0.01249,0.01409316,10.494155
rotm,AMD Instinct MI300A,float32,262144,100,0.014051,0.01574388,149.25287
rotm,AMD Instinct MI300A,float32,4194304,100,0.03694,0.0436599,908.34955
rotm,AMD Instinct MI300A,float32,67108864,100,0.341774,0.47061357,1570.836
rotmg,cpu,float32,0,100,3e-05,3.25e-05,0.0
scal,AMD Instinct MI300A,float32,1024,100,0.00976,0.011495731,0.83934426
scal,AMD Instinct MI300A,float32,16384,100,0.00991,0.01136713,13.226236
scal,AMD Instinct MI300A,float32,262144,100,0.01081,0.01202894,194.00111
scal,AMD Instinct MI300A,float32,4194304,100,0.024251,0.02928094,1383.6309
scal,AMD Instinct MI300A,float32,67108864,100,0.18686201,0.20755535,2873.0876
swap,AMD Instinct MI300A,float32,1024,100,0.01531,0.01653269,1.0701503
swap,AMD Instinct MI300A,float32,16384,100,0.01252,0.01392716,20.938019
swap,AMD Instinct MI300A,float32,262144,100,0.01357,0.01549677,309.08652
swap,AMD Instinct MI300A,float32,4194304,100,0.037511,0.0434132,1789.0449
swap,AMD Instinct MI300A,float32,67108864,100,0.357314,0.4284774,3005.037
