op,device,dtype,n,iters,best_ms,avg_ms,best_bandwidth_GBs
asum,AMD Instinct MI300A,float32,1024,100,0.007640,0.00833011,0.536126
asum,AMD Instinct MI300A,float32,16384,100,0.007640,0.00831286,8.578011
asum,AMD Instinct MI300A,float32,262144,100,0.007720,0.00813564,135.825905
asum,AMD Instinct MI300A,float32,4194304,100,0.008880,0.00951290,1889.326205
asum,AMD Instinct MI300A,float32,67108864,100,0.103641,0.10704953,2590.050726
axpy,AMD Instinct MI300A,float32,1024,100,0.004400,0.00607128,2.792727
axpy,AMD Instinct MI300A,float32,16384,100,0.005680,0.00602926,34.614085
axpy,AMD Instinct MI300A,float32,262144,100,0.005960,0.00665925,527.806693
axpy,AMD Instinct MI300A,float32,4194304,100,0.016480,0.01758618,3054.104727
axpy,AMD Instinct MI300A,float32,67108864,100,0.223162,0.22934220,3608.617885
copy,AMD Instinct MI300A,float32,1024,100,0.005400,0.00575248,1.517037
copy,AMD Instinct MI300A,float32,16384,100,0.005440,0.00589527,24.094118
copy,AMD Instinct MI300A,float32,262144,100,0.004880,0.00619764,429.744271
copy,AMD Instinct MI300A,float32,4194304,100,0.008920,0.00944848,3761.707651
copy,AMD Instinct MI300A,float32,67108864,100,0.139641,0.14456519,3844.650962
dot,AMD Instinct MI300A,float32,1024,100,0.004600,0.00606127,1.780870
dot,AMD Instinct MI300A,float32,16384,100,0.005360,0.00567045,24.453732
dot,AMD Instinct MI300A,float32,262144,100,0.006960,0.00820287,301.314946
dot,AMD Instinct MI300A,float32,4194304,100,0.012240,0.01338733,2741.375148
dot,AMD Instinct MI300A,float32,67108864,100,0.155042,0.16439309,3462.745175
dotc,AMD Instinct MI300A,float32,1024,100,0.005320,0.00568886,3.079699
dotc,AMD Instinct MI300A,float32,16384,100,0.007880,0.00822129,33.267003
dotc,AMD Instinct MI300A,float32,262144,100,0.007721,0.00852970,543.233268
dotc,AMD Instinct MI300A,float32,4194304,100,0.020560,0.02118904,3264.049791
dotc,AMD Instinct MI300A,float32,67108864,100,0.301404,0.31685921,3562.467075
dotu,AMD Instinct MI300A,float32,1024,100,0.005040,0.00572767,3.250794
dotu,AMD Instinct MI300A,float32,16384,100,0.007201,0.00816690,36.403832
dotu,AMD Instinct MI300A,float32,262144,100,0.007920,0.00817453,529.583854
dotu,AMD Instinct MI300A,float32,4194304,100,0.020600,0.02120186,3257.711782
dotu,AMD Instinct MI300A,float32,67108864,100,0.299844,0.31586724,3581.001573
iamax,AMD Instinct MI300A,float32,1024,100,0.008000,0.00836609,0.512000
iamax,AMD Instinct MI300A,float32,16384,100,0.008200,0.00849209,7.992195
iamax,AMD Instinct MI300A,float32,262144,100,0.008160,0.00846049,128.501965
iamax,AMD Instinct MI300A,float32,4194304,100,0.024320,0.02479507,689.852609
iamax,AMD Instinct MI300A,float32,67108864,100,0.340323,0.34504393,788.766716
nrm2,AMD Instinct MI300A,float32,1024,100,0.006680,0.00814490,0.613174
nrm2,AMD Instinct MI300A,float32,16384,100,0.007760,0.00815127,8.445361
nrm2,AMD Instinct MI300A,float32,262144,100,0.007800,0.00823930,134.432824
nrm2,AMD Instinct MI300A,float32,4194304,100,0.008440,0.00905328,1987.821800
nrm2,AMD Instinct MI300A,float32,67108864,100,0.097642,0.10079476,2749.180313
rot,AMD Instinct MI300A,float32,1024,100,0.005360,0.00572846,1.528358
rot,AMD Instinct MI300A,float32,16384,100,0.005601,0.00631129,23.401535
rot,AMD Instinct MI300A,float32,262144,100,0.006440,0.00726603,325.644713
rot,AMD Instinct MI300A,float32,4194304,100,0.028880,0.03206197,1161.857059
rot,AMD Instinct MI300A,float32,67108864,100,0.400285,0.41795950,1341.221641
rotg,AMD Instinct MI300A,float32,0,100,0.005360,0.00573005,0.000000
rotm,AMD Instinct MI300A,float32,1024,100,0.005320,0.00597449,1.539850
rotm,AMD Instinct MI300A,float32,16384,100,0.005680,0.00601284,23.076057
rotm,AMD Instinct MI300A,float32,262144,100,0.006400,0.00695016,327.680008
rotm,AMD Instinct MI300A,float32,4194304,100,0.028320,0.03241076,1184.831656
rotm,AMD Instinct MI300A,float32,67108864,100,0.392844,0.41210790,1366.626253
rotmg,AMD Instinct MI300A,float32,0,100,0.005360,0.00570245,0.000000
scal,AMD Instinct MI300A,float32,1024,100,0.005360,0.00574685,1.528358
scal,AMD Instinct MI300A,float32,16384,100,0.005600,0.00603007,23.405715
scal,AMD Instinct MI300A,float32,262144,100,0.005960,0.00658650,351.871128
scal,AMD Instinct MI300A,float32,4194304,100,0.015721,0.01716263,2134.369979
scal,AMD Instinct MI300A,float32,67108864,100,0.213562,0.22392939,2513.887864
swap,AMD Instinct MI300A,float32,1024,100,0.005400,0.00604607,3.034074
swap,AMD Instinct MI300A,float32,16384,100,0.005680,0.00608968,46.152113
swap,AMD Instinct MI300A,float32,262144,100,0.006440,0.00693686,651.289427
swap,AMD Instinct MI300A,float32,4194304,100,0.028160,0.03128116,2383.127254
swap,AMD Instinct MI300A,float32,67108864,100,0.396284,0.42168601,2709.525961
