op,device,dtype,n,iters,best_ms,avg_ms,best_bandwidth_GBs
asum,NVIDIA H100 PCIe,float32,1024,100,0.010208,0.01230464,0.401254
asum,NVIDIA H100 PCIe,float32,16384,100,0.011104,0.01257248,5.902017
asum,NVIDIA H100 PCIe,float32,262144,100,0.010304,0.01121280,101.763973
asum,NVIDIA H100 PCIe,float32,4194304,100,0.013696,0.01448768,1224.971964
asum,NVIDIA H100 PCIe,float32,67108864,100,0.166048,0.16749728,1616.613555
axpy,NVIDIA H100 PCIe,float32,1024,100,0.010816,0.01210464,1.136095
axpy,NVIDIA H100 PCIe,float32,16384,100,0.009280,0.01067328,21.186207
axpy,NVIDIA H100 PCIe,float32,262144,100,0.005536,0.00669504,568.231237
axpy,NVIDIA H100 PCIe,float32,4194304,100,0.017568,0.01879200,2864.961804
axpy,NVIDIA H100 PCIe,float32,67108864,100,0.462144,0.46455264,1742.544293
copy,NVIDIA H100 PCIe,float32,1024,100,0.004160,0.00456768,1.969231
copy,NVIDIA H100 PCIe,float32,16384,100,0.004544,0.00498112,28.845070
copy,NVIDIA H100 PCIe,float32,262144,100,0.004640,0.00528480,451.972420
copy,NVIDIA H100 PCIe,float32,4194304,100,0.015904,0.01681056,2109.810861
copy,NVIDIA H100 PCIe,float32,67108864,100,0.327488,0.32937504,1639.360537
dot,NVIDIA H100 PCIe,float32,1024,100,0.017536,0.02332480,0.467153
dot,NVIDIA H100 PCIe,float32,16384,100,0.017152,0.01931712,7.641791
dot,NVIDIA H100 PCIe,float32,262144,100,0.011584,0.01286240,181.038678
dot,NVIDIA H100 PCIe,float32,4194304,100,0.014880,0.01591136,2255.002199
dot,NVIDIA H100 PCIe,float32,67108864,100,0.287264,0.29045632,1868.911286
dotc,NVIDIA H100 PCIe,float32,1024,100,0.007488,0.00844704,2.188034
dotc,NVIDIA H100 PCIe,float32,16384,100,0.007744,0.00820000,33.851240
dotc,NVIDIA H100 PCIe,float32,262144,100,0.010368,0.01106528,404.543218
dotc,NVIDIA H100 PCIe,float32,4194304,100,0.043648,0.04433088,1537.501438
dotc,NVIDIA H100 PCIe,float32,67108864,100,0.562560,0.56833152,1908.670688
dotu,NVIDIA H100 PCIe,float32,1024,100,0.007456,0.00807296,2.197425
dotu,NVIDIA H100 PCIe,float32,16384,100,0.007392,0.00812224,35.463204
dotu,NVIDIA H100 PCIe,float32,262144,100,0.010432,0.01081984,402.061339
dotu,NVIDIA H100 PCIe,float32,4194304,100,0.043584,0.04424960,1539.759166
dotu,NVIDIA H100 PCIe,float32,67108864,100,0.563232,0.56870912,1906.393485
iamax,NVIDIA H100 PCIe,float32,1024,100,0.014496,0.01596672,0.282561
iamax,NVIDIA H100 PCIe,float32,16384,100,0.020672,0.02218016,3.170279
iamax,NVIDIA H100 PCIe,float32,262144,100,0.009696,0.01008704,108.145212
iamax,NVIDIA H100 PCIe,float32,4194304,100,0.012768,0.01348320,1314.004975
iamax,NVIDIA H100 PCIe,float32,67108864,100,0.150624,0.15446880,1782.155855
nrm2,NVIDIA H100 PCIe,float32,1024,100,0.021568,0.02327008,0.189911
nrm2,NVIDIA H100 PCIe,float32,16384,100,0.016416,0.01695488,3.992203
nrm2,NVIDIA H100 PCIe,float32,262144,100,0.014560,0.01501376,72.017582
nrm2,NVIDIA H100 PCIe,float32,4194304,100,0.017792,0.01856896,942.964055
nrm2,NVIDIA H100 PCIe,float32,67108864,100,0.173504,0.17495072,1547.142797
rot,NVIDIA H100 PCIe,float32,1024,100,0.010208,0.01132768,0.802508
rot,NVIDIA H100 PCIe,float32,16384,100,0.006208,0.00722752,21.113403
rot,NVIDIA H100 PCIe,float32,262144,100,0.006464,0.00727584,324.435651
rot,NVIDIA H100 PCIe,float32,4194304,100,0.030528,0.03140128,1099.136282
rot,NVIDIA H100 PCIe,float32,67108864,100,0.633984,0.63591808,846.820877
rotg,NVIDIA H100 PCIe,float32,0,100,0.009344,0.01075328,0.000000
rotm,NVIDIA H100 PCIe,float32,1024,100,0.009344,0.01054912,0.876712
rotm,NVIDIA H100 PCIe,float32,16384,100,0.006624,0.00751936,19.787439
rotm,NVIDIA H100 PCIe,float32,262144,100,0.006272,0.00693216,334.367358
rotm,NVIDIA H100 PCIe,float32,4194304,100,0.033152,0.03389152,1012.139023
rotm,NVIDIA H100 PCIe,float32,67108864,100,0.627776,0.62967360,855.194989
rotmg,NVIDIA H100 PCIe,float32,0,100,0.003936,0.00487648,0.000000
scal,NVIDIA H100 PCIe,float32,1024,100,0.003936,0.00444704,2.081301
scal,NVIDIA H100 PCIe,float32,16384,100,0.004032,0.00457216,32.507937
scal,NVIDIA H100 PCIe,float32,262144,100,0.004672,0.00536352,448.876695
scal,NVIDIA H100 PCIe,float32,4194304,100,0.014752,0.01535648,2274.568385
scal,NVIDIA H100 PCIe,float32,67108864,100,0.323328,0.32558016,1660.452950
swap,NVIDIA H100 PCIe,float32,1024,100,0.003808,0.00471520,4.302521
swap,NVIDIA H100 PCIe,float32,16384,100,0.004288,0.00496160,61.134328
swap,NVIDIA H100 PCIe,float32,262144,100,0.005728,0.00627904,732.245830
swap,NVIDIA H100 PCIe,float32,4194304,100,0.043104,0.04653152,1556.905702
swap,NVIDIA H100 PCIe,float32,67108864,100,0.872352,0.89603200,1230.858437
