op,device,dtype,n,iters,best_ms,avg_ms,best_bandwidth_GBs
asum,NVIDIA H100 PCIe,float32,1024,100,0.009851,0.01060508,0.41579536
asum,NVIDIA H100 PCIe,float32,16384,100,0.010034,0.0106239105,6.531393
asum,NVIDIA H100 PCIe,float32,262144,100,0.013095,0.013967349,80.07453
asum,NVIDIA H100 PCIe,float32,4194304,100,0.052473,0.05340346,319.73044
asum,NVIDIA H100 PCIe,float32,67108864,100,0.769365,0.7707441,348.9052
axpy,NVIDIA H100 PCIe,float32,1024,100,0.006754,0.0071805897,1.8193663
axpy,NVIDIA H100 PCIe,float32,16384,100,0.006836,0.00723925,28.76068
axpy,NVIDIA H100 PCIe,float32,262144,100,0.007824,0.008355389,402.06134
axpy,NVIDIA H100 PCIe,float32,4194304,100,0.024525,0.02511625,2052.2588
axpy,NVIDIA H100 PCIe,float32,67108864,100,0.479635,0.48228675,1678.9983
copy,NVIDIA H100 PCIe,float32,1024,100,0.006739,0.00703974,1.2156106
copy,NVIDIA H100 PCIe,float32,16384,100,0.006842,0.00716987,19.15697
copy,NVIDIA H100 PCIe,float32,262144,100,0.007746,0.00801169,270.74
copy,NVIDIA H100 PCIe,float32,4194304,100,0.023618,0.02405221,1420.7144
copy,NVIDIA H100 PCIe,float32,67108864,100,0.359802,0.36024728,1492.1288
dot,NVIDIA H100 PCIe,float32,1024,100,0.011404,0.01194221,0.71834445
dot,NVIDIA H100 PCIe,float32,16384,100,0.01167,0.01204416,11.231534
dot,NVIDIA H100 PCIe,float32,262144,100,0.013783,0.0142339105,152.15497
dot,NVIDIA H100 PCIe,float32,4194304,100,0.021202,0.02442117,1582.6069
dot,NVIDIA H100 PCIe,float32,67108864,100,0.364931,0.36628556,1471.1573
dotc,NVIDIA H100 PCIe,float32,1024,100,0.00959,0.00993265,1.7084463
dotc,NVIDIA H100 PCIe,float32,16384,100,0.009982,0.0102565,26.261671
dotc,NVIDIA H100 PCIe,float32,262144,100,0.015959,0.01639373,262.81747
dotc,NVIDIA H100 PCIe,float32,4194304,100,0.109893,0.11193053,610.6746
dotc,NVIDIA H100 PCIe,float32,67108864,100,1.51796,1.5275834,707.35846
dotu,NVIDIA H100 PCIe,float32,1024,100,0.009692,0.0099819405,1.6904664
dotu,NVIDIA H100 PCIe,float32,16384,100,0.010011,0.01034238,26.185597
dotu,NVIDIA H100 PCIe,float32,262144,100,0.01604,0.01636372,261.49026
dotu,NVIDIA H100 PCIe,float32,4194304,100,0.109489,0.11186579,612.9279
dotu,NVIDIA H100 PCIe,float32,67108864,100,1.521001,1.527777,705.9442
iamax,NVIDIA H100 PCIe,float32,1024,100,0.011794,0.01364433,0.34729522
iamax,NVIDIA H100 PCIe,float32,16384,100,0.012109,0.012676019,5.412173
iamax,NVIDIA H100 PCIe,float32,262144,100,0.014415,0.01492072,72.742004
iamax,NVIDIA H100 PCIe,float32,4194304,100,0.020057,0.02057247,836.47687
iamax,NVIDIA H100 PCIe,float32,67108864,100,0.253553,0.25471872,1058.6957
nrm2,NVIDIA H100 PCIe,float32,1024,100,0.011377,0.01193908,0.3600246
nrm2,NVIDIA H100 PCIe,float32,16384,100,0.011548,0.01223619,5.675095
nrm2,NVIDIA H100 PCIe,float32,262144,100,0.013413,0.01390821,78.176094
nrm2,NVIDIA H100 PCIe,float32,4194304,100,0.018941,0.01943708,885.7619
nrm2,NVIDIA H100 PCIe,float32,67108864,100,0.249689,0.25093457,1075.0792
rot,NVIDIA H100 PCIe,float32,1024,100,0.006838,0.00715431,1.1980112
rot,NVIDIA H100 PCIe,float32,16384,100,0.006834,0.0071253902,19.179398
rot,NVIDIA H100 PCIe,float32,262144,100,0.00787,0.00827105,266.4742
rot,NVIDIA H100 PCIe,float32,4194304,100,0.031104,0.03194481,1078.7819
rot,NVIDIA H100 PCIe,float32,67108864,100,0.627398,0.62928665,855.71027
rotg,cpu,float32,0,100,1.9e-05,1.989e-05,0.0
rotm,NVIDIA H100 PCIe,float32,1024,100,0.007088,0.0074108997,1.1557562
rotm,NVIDIA H100 PCIe,float32,16384,100,0.00712,0.00739236,18.408989
rotm,NVIDIA H100 PCIe,float32,262144,100,0.008251,0.00859017,254.16943
rotm,NVIDIA H100 PCIe,float32,4194304,100,0.032523,0.03329993,1031.7139
rotm,NVIDIA H100 PCIe,float32,67108864,100,0.631826,0.63375026,849.71326
rotmg,cpu,float32,0,100,2.9e-05,3.034e-05,0.0
scal,NVIDIA H100 PCIe,float32,1024,100,0.00671,0.00706712,1.2208644
scal,NVIDIA H100 PCIe,float32,16384,100,0.006892,0.00708869,19.017992
scal,NVIDIA H100 PCIe,float32,262144,100,0.0076429998,0.0079627,274.38858
scal,NVIDIA H100 PCIe,float32,4194304,100,0.019661,0.019958051,1706.6493
scal,NVIDIA H100 PCIe,float32,67108864,100,0.346845,0.34808984,1547.8699
swap,NVIDIA H100 PCIe,float32,1024,100,0.006804,0.0070554903,2.4079952
swap,NVIDIA H100 PCIe,float32,16384,100,0.006833,0.0071262,38.364406
swap,NVIDIA H100 PCIe,float32,262144,100,0.007907,0.00820934,530.4545
swap,NVIDIA H100 PCIe,float32,4194304,100,0.041974,0.044128697,1598.8198
swap,NVIDIA H100 PCIe,float32,67108864,100,0.851475,0.8691621,1261.0374
